TIME,GEO,ANIMALS,MONTH,UNIT,Value,Flag and Footnotes
2009,European Union - 28 countries,Live bovine animals,December,Thousand head (animals),:,
2009,European Union - 28 countries,"Bovine animals, less than 1 year",December,Thousand head (animals),26438.86,
2009,European Union - 28 countries,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),4980.63,
2009,European Union - 28 countries,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),21462.08,
2009,European Union - 28 countries,"Bovine animals, 1 year",December,Thousand head (animals),18283.91,
2009,European Union - 27 countries (2007-2013),Live bovine animals,December,Thousand head (animals),:,
2009,European Union - 27 countries (2007-2013),"Bovine animals, less than 1 year",December,Thousand head (animals),26304.36,
2009,European Union - 27 countries (2007-2013),"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),4960.53,
2009,European Union - 27 countries (2007-2013),"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),21347.68,
2009,European Union - 27 countries (2007-2013),"Bovine animals, 1 year",December,Thousand head (animals),18211.71,
2009,European Union - 25 countries (2004-2006),Live bovine animals,December,Thousand head (animals),:,
2009,European Union - 25 countries (2004-2006),"Bovine animals, less than 1 year",December,Thousand head (animals),25569.17,
2009,European Union - 25 countries (2004-2006),"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),4693.31,
2009,European Union - 25 countries (2004-2006),"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),20879.7,
2009,European Union - 25 countries (2004-2006),"Bovine animals, 1 year",December,Thousand head (animals),17893.8,
2009,European Union - 15 countries (1995-2004),Live bovine animals,December,Thousand head (animals),:,
2009,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year",December,Thousand head (animals),22901.13,
2009,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),4306.07,
2009,European Union - 15 countries (1995-2004),"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),18598.91,
2009,European Union - 15 countries (1995-2004),"Bovine animals, 1 year",December,Thousand head (animals),15741.53,
2009,Belgium,Live bovine animals,December,Thousand head (animals),2535.44,
2009,Belgium,"Bovine animals, less than 1 year",December,Thousand head (animals),702.35,
2009,Belgium,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),170.12,
2009,Belgium,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),532.23,
2009,Belgium,"Bovine animals, 1 year",December,Thousand head (animals),503.75,
2009,Bulgaria,Live bovine animals,December,Thousand head (animals),547.87,
2009,Bulgaria,"Bovine animals, less than 1 year",December,Thousand head (animals),143,
2009,Bulgaria,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),59.32,
