TIME,GEO,NUTRIENT,UNIT,Value,Flag and Footnotes
2008,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Nitrogen,Tonne,10812110,e
2008,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Phosphorus,Tonne,1344578,e
2008,European Union - 28 countries,Nitrogen,Tonne,10982262,e
2008,European Union - 28 countries,Phosphorus,Tonne,1365869,e
2008,Belgium,Nitrogen,Tonne,134648,e
2008,Belgium,Phosphorus,Tonne,6400,e
2008,Bulgaria,Nitrogen,Tonne,173917,
2008,Bulgaria,Phosphorus,Tonne,13342,
2008,Czechia,Nitrogen,Tonne,341628,
2008,Czechia,Phosphorus,Tonne,24097,
2008,Denmark,Nitrogen,Tonne,220674,e
2008,Denmark,Phosphorus,Tonne,7000,e
2008,Germany (until 1990 former territory of the FRG),Nitrogen,Tonne,1807176,
2008,Germany (until 1990 former territory of the FRG),Phosphorus,Tonne,138274,
2008,Estonia,Nitrogen,Tonne,35455,
2008,Estonia,Phosphorus,Tonne,4187,
2008,Ireland,Nitrogen,Tonne,308960,
2008,Ireland,Phosphorus,Tonne,26350,
2008,Greece,Nitrogen,Tonne,201000,e
2008,Greece,Phosphorus,Tonne,28000,e
2008,Spain,Nitrogen,Tonne,739757,
2008,Spain,Phosphorus,Tonne,118576,
2008,France,Nitrogen,Tonne,2425221,
2008,France,Phosphorus,Tonne,282425,
2008,Croatia,Nitrogen,Tonne,170152,
2008,Croatia,Phosphorus,Tonne,21291,
2008,Italy,Nitrogen,Tonne,588956,
2008,Italy,Phosphorus,Tonne,228700,
2008,Cyprus,Nitrogen,Tonne,7499,e
2008,Cyprus,Phosphorus,Tonne,939,
2008,Latvia,Nitrogen,Tonne,47492,
2008,Latvia,Phosphorus,Tonne,6632,
2008,Lithuania,Nitrogen,Tonne,118300,e
2008,Lithuania,Phosphorus,Tonne,10000,e
2008,Luxembourg,Nitrogen,Tonne,13329,
2008,Luxembourg,Phosphorus,Tonne,665,
2008,Hungary,Nitrogen,Tonne,294309,
2008,Hungary,Phosphorus,Tonne,27431,
2008,Malta,Nitrogen,Tonne,407,
2008,Malta,Phosphorus,Tonne,53,
2008,Netherlands,Nitrogen,Tonne,220712,
2008,Netherlands,Phosphorus,Tonne,10791,
2008,Austria,Nitrogen,Tonne,108502,
2008,Austria,Phosphorus,Tonne,13808,
2008,Poland,Nitrogen,Tonne,1142273,
2008,Poland,Phosphorus,Tonne,193133,
2008,Portugal,Nitrogen,Tonne,105131,
2008,Portugal,Phosphorus,Tonne,17960,
2008,Romania,Nitrogen,Tonne,279886,
2008,Romania,Phosphorus,Tonne,44718,
2008,Slovenia,Nitrogen,Tonne,25039,
2008,Slovenia,Phosphorus,Tonne,5211,
2008,Slovakia,Nitrogen,Tonne,121435,r
2008,Slovakia,Phosphorus,Tonne,11201,r
2008,Finland,Nitrogen,Tonne,162905,
2008,Finland,Phosphorus,Tonne,16239,
2008,Sweden,Nitrogen,Tonne,186500,
2008,Sweden,Phosphorus,Tonne,14600,
2008,United Kingdom,Nitrogen,Tonne,1000999,
2008,United Kingdom,Phosphorus,Tonne,93846,
2008,Norway,Nitrogen,Tonne,101777,
2008,Norway,Phosphorus,Tonne,11492,
2008,Switzerland,Nitrogen,Tonne,50800,
2008,Switzerland,Phosphorus,Tonne,5108,
2008,Turkey,Nitrogen,Tonne,1133068,
2008,Turkey,Phosphorus,Tonne,143565,
2009,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Nitrogen,Tonne,9938744,e
2009,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Phosphorus,Tonne,992602,e
2009,European Union - 28 countries,Nitrogen,Tonne,10029537,e
2009,European Union - 28 countries,Phosphorus,Tonne,1001392,e
2009,Belgium,Nitrogen,Tonne,147412,e
2009,Belgium,Phosphorus,Tonne,4600,e
2009,Bulgaria,Nitrogen,Tonne,177553,
2009,Bulgaria,Phosphorus,Tonne,13387,
2009,Czechia,Nitrogen,Tonne,253759,
