TIME,GEO,UNIT,PRODUCT,INDIC_NRG,Value
2007,European Union - 28 countries,Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,European Union - 28 countries,Thousand tonnes,Hydro power,Gross inland consumption,:
2007,European Union - 28 countries,Thousand tonnes,Wind power,Gross inland consumption,:
2007,European Union - 28 countries,Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,European Union - 28 countries,Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,European Union - 28 countries,Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,138927.5
2007,European Union - 28 countries,Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,27036.9
2007,European Union - 28 countries,Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,8976
2007,European Union - 28 countries,Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,969.5
2007,European Union - 28 countries,Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,324.5
2007,European Union - 28 countries,Terajoule,Renewable energies,Gross inland consumption,5816616.5
2007,European Union - 28 countries,Terajoule,Hydro power,Gross inland consumption,1131980.4
2007,European Union - 28 countries,Terajoule,Wind power,Gross inland consumption,375807.6
2007,European Union - 28 countries,Terajoule,Solar thermal,Gross inland consumption,40591
2007,European Union - 28 countries,Terajoule,Solar photovoltaic,Gross inland consumption,13587.7
2007,Euro area (19 countries),Thousand tonnes,Renewable energies,Gross inland consumption,:
2007,Euro area (19 countries),Thousand tonnes,Hydro power,Gross inland consumption,:
2007,Euro area (19 countries),Thousand tonnes,Wind power,Gross inland consumption,:
2007,Euro area (19 countries),Thousand tonnes,Solar thermal,Gross inland consumption,:
2007,Euro area (19 countries),Thousand tonnes,Solar photovoltaic,Gross inland consumption,:
2007,Euro area (19 countries),Thousand tonnes of oil equivalent (TOE),Renewable energies,Gross inland consumption,99719.1
2007,Euro area (19 countries),Thousand tonnes of oil equivalent (TOE),Hydro power,Gross inland consumption,18485.3
2007,Euro area (19 countries),Thousand tonnes of oil equivalent (TOE),Wind power,Gross inland consumption,7710.6
2007,Euro area (19 countries),Thousand tonnes of oil equivalent (TOE),Solar thermal,Gross inland consumption,894.6
2007,Euro area (19 countries),Thousand tonnes of oil equivalent (TOE),Solar photovoltaic,Gross inland consumption,322.6
